Id,Suburb,Value,Date,NumberOfBedrooms,Type
7970,Port Hacking,1002,13/06/2024,3,house
7971,Box Hill,1444,26/01/2023,3,house
7972,Forestville,2086,13/12/2023,4,house
7973,Woolloomooloo,569,06/10/2023,3,unit
7974,Lugarno,588,23/01/2023,5,unit
7975,Lakemba,842,24/03/2023,3,unit
7976,Birrong,641,08/02/2024,2,unit
7977,Laughtondale,1998,23/07/2024,4,house
7978,Wiley Park,808,05/07/2023,1,unit
7979,Hornsby,916,06/01/2023,4,house
7980,St Helens Park,1317,22/07/2023,4,house
7981,Turrella,2235,16/06/2023,3,house
7982,Monterey,886,24/05/2023,5,unit
7983,Hassall Grove,2134,04/06/2023,1,house
7984,Mount Pritchard,948,26/10/2024,1,unit
7985,Long Point,1944,05/03/2023,3,house
7986,East Lindfield,1351,22/09/2023,3,unit
7987,Englorie Park,1160,15/04/2023,2,unit
7988,Greenacre,659,18/01/2023,5,unit
7989,Cherrybrook,1045,09/06/2024,5,unit
7990,Como,760,19/12/2023,3,house
7991,Ku-ring-gai Chase,1095,28/07/2023,2,unit
7992,Hurlstone Park,1040,30/08/2024,2,unit
7993,Artarmon,789,18/07/2023,2,unit
7994,Belrose,605,01/02/2024,4,unit
7995,Toongabbie,754,10/02/2023,4,house
7996,Cattai,999,29/10/2023,3,unit
7997,Richmond,751,27/09/2023,1,house
7998,Elizabeth Bay,865,29/10/2023,2,unit
7999,Erskineville,1780,27/03/2023,3,house
8000,Gordon,865,14/03/2024,2,unit
8001,Clovelly,1264,24/10/2024,2,unit
8002,Kyle Bay,1165,02/02/2023,1,unit
8003,Summer Hill,913,01/06/2023,3,unit
8004,Blairmount,1114,20/07/2023,4,unit
8005,Greystanes,1244,17/05/2024,4,unit
8006,East Hills,1698,19/02/2023,1,house
8007,Wisemans Ferry,1354,09/02/2024,2,house
8008,Milsons Passage,1061,05/08/2024,4,unit
8009,Leumeah,1337,01/07/2023,5,unit
8010,Oatley,2235,15/06/2024,2,house
8011,Great Mackerel Beach,1236,27/08/2023,4,unit
8012,Longueville,1293,17/06/2024,2,unit
8013,Redfern,1439,13/02/2023,4,unit
8014,Berala,832,06/03/2024,3,house
8015,Arncliffe,1288,12/02/2024,4,unit
8016,Rouse Hill,1274,04/02/2023,3,unit
8017,Glenfield,2004,16/07/2024,4,house
8018,Minchinbury,1476,17/03/2024,1,house
8019,Forest Glen,995,08/01/2023,2,unit
8020,Pendle Hill,940,11/08/2023,2,house
8021,Glenmore Park,1313,29/04/2023,2,unit
8022,McGraths Hill,661,20/03/2024,1,unit
8023,Fairfield Heights,799,25/10/2024,4,unit
8024,Drummoyne,1477,06/11/2023,2,unit
8025,Jamisontown,577,15/10/2023,2,unit
8026,Bankstown,981,11/04/2023,4,house
8027,North Manly,1408,29/10/2023,2,house
8028,Barangaroo,1183,20/05/2023,3,house
8029,Peakhurst,1030,06/01/2023,2,unit
8030,Mosman,1338,05/01/2024,2,unit
8031,Northwood,889,23/01/2023,4,house
8032,North Balgowlah,2182,10/03/2023,2,house
8033,Middle Dural,1041,06/08/2023,4,unit
8034,Doonside,1845,30/04/2024,4,house
8035,Chippendale,1175,02/10/2023,3,unit
8036,Orchard Hills,1054,02/04/2023,4,unit
8037,Beaumont Hills,1663,13/01/2023,5,house
8038,Padstow Heights,996,19/05/2023,2,unit
8039,Ashbury,1449,13/10/2023,4,unit
8040,Liberty Grove,1413,16/10/2024,2,house
8041,North Rocks,1240,05/05/2023,4,unit
8042,Sackville North,2220,07/03/2024,4,house
8043,Alfords Point,2119,17/10/2023,1,house
8044,Newtown,1011,14/03/2023,5,unit
8045,Len Waters Estate,1145,15/02/2023,3,unit
8046,Glebe,726,29/07/2023,5,unit
8047,Peakhurst Heights,1812,10/02/2023,4,house
8048,Menangle Park,1702,16/01/2023,1,house
8049,Queens Park,1419,09/07/2024,4,house
8050,Enfield,1174,02/01/2023,5,unit
8051,Guildford West,1072,09/01/2023,5,unit
8052,Huntingwood,1431,07/03/2023,2,unit
8053,Balmain,1558,07/03/2023,2,house
8054,Jamisontown,1786,01/06/2024,1,house
8055,Lalor Park,650,28/11/2023,2,unit
8056,Mulgrave,642,15/12/2023,4,unit
8057,Edgecliff,1011,27/08/2023,1,unit
8058,Berowra Creek,1261,20/03/2023,1,unit
8059,Narrabeen,1036,25/03/2024,4,unit
8060,Minto,1347,24/09/2024,4,unit
8061,Peakhurst,1340,05/08/2024,4,unit
8062,Beverly Hills,740,23/02/2024,1,unit
8063,Miranda,1350,22/05/2023,3,house
8064,Werrington County,1258,11/01/2023,4,unit
8065,Canterbury,1018,25/12/2023,2,house
8066,Bossley Park,1401,11/03/2024,3,unit
8067,Richmond,848,17/12/2023,1,unit
8068,Willmot,1174,09/12/2023,2,unit
8069,Eveleigh,1192,25/06/2024,4,unit
8070,Leumeah,828,27/02/2023,4,unit
8071,Longueville,704,07/05/2023,3,unit
8072,Surry Hills,969,13/06/2024,3,unit
8073,Mays Hill,1062,10/05/2023,2,unit
8074,Avalon Beach,2238,26/06/2024,4,house
8075,North Ryde,1438,19/03/2023,5,unit
8076,Cobbitty,847,29/05/2024,3,unit
8077,Lugarno,1053,23/06/2023,2,house
8078,Berowra Heights,1549,04/07/2024,3,house
8079,Kurraba Point,1005,11/11/2023,1,house
8080,Long Point,1421,19/11/2023,4,unit
8081,Sadleir,1774,23/04/2023,4,house
8082,Canterbury,1069,26/04/2023,2,house
8083,Epping,919,08/09/2023,4,house
8084,Bow Bowing,989,18/03/2024,3,unit
8085,Winston Hills,1366,07/01/2024,4,house
8086,Dover Heights,723,21/02/2024,3,unit
8087,Pitt Town,910,18/02/2024,5,unit
8088,Ambarvale,883,01/03/2024,2,unit
8089,South Windsor,1445,19/07/2024,3,unit
8090,Glen Alpine,925,09/09/2024,2,unit
8091,Mulgoa,913,22/03/2024,1,unit
8092,Darlinghurst,663,17/02/2023,5,unit
8093,Belrose,1315,18/09/2023,4,unit
8094,Little Bay,555,01/09/2023,2,unit
8095,Gladesville,1395,20/11/2023,3,house
8096,Milsons Passage,2172,18/11/2023,1,house
8097,Kearns,2026,15/06/2024,2,house
8098,Macquarie Links,954,13/03/2023,5,unit
8099,Kogarah,1433,09/01/2023,2,unit
8100,Summer Hill,1369,17/09/2024,3,unit
8101,Cabramatta West,650,28/07/2023,1,unit
8102,La Perouse,1848,06/09/2024,2,house
8103,Croydon Park,714,09/01/2024,2,unit
8104,Orchard Hills,1349,12/05/2023,1,unit
8105,Liberty Grove,763,29/08/2023,2,unit
8106,Emerton,1050,15/05/2024,2,house
8107,Revesby,1081,04/01/2024,4,house
8108,Regentville,1279,13/09/2024,2,unit
8109,Caringbah,1105,07/03/2024,4,unit
8110,St Johns Park,786,03/07/2024,2,unit
8111,Blacktown,947,28/07/2024,4,unit
8112,Northmead,1365,06/08/2023,2,house
8113,Forest Lodge,684,14/06/2024,3,unit
8114,Connells Point,896,26/11/2023,5,unit
8115,Englorie Park,1039,07/06/2024,3,unit
8116,Maraylya,1319,10/02/2024,5,unit
8117,Woronora,1713,22/02/2023,2,house
8118,Beverley Park,663,11/02/2023,2,unit
8119,Como,1146,11/06/2024,5,unit
8120,Campbelltown,2008,22/01/2023,1,house
8121,Bidwill,856,25/03/2023,5,unit
8122,Huntleys Point,906,31/03/2024,1,house
8123,Turrella,2124,20/12/2023,3,house
8124,Asquith,694,26/04/2024,4,unit
8125,McCarrs Creek,595,11/04/2023,3,unit
8126,Sans Souci,1464,12/07/2023,4,unit
8127,Queens Park,1047,26/06/2024,2,house
8128,Greystanes,826,23/02/2024,3,unit
8129,Warriewood,1071,20/12/2023,4,house
8130,Wareemba,843,14/06/2024,1,house
8131,Raby,1125,27/06/2024,1,house
8132,Cabarita,1429,30/09/2023,1,unit
8133,Westmead,1324,15/05/2024,5,unit
8134,Peakhurst Heights,1038,13/04/2023,1,house
8135,Church Point,1302,12/09/2023,4,house
8136,Hobartville,1089,28/07/2024,3,unit
8137,Rooty Hill,1396,24/09/2024,3,house
8138,Werrington Downs,1891,17/01/2023,5,house
8139,Hornsby,1112,16/01/2024,4,unit
8140,Mount Pritchard,1014,22/09/2024,4,house
8141,Wisemans Ferry,1058,28/06/2023,1,unit
8142,Blackett,1183,23/10/2023,3,unit
8143,Bardia,2073,23/04/2023,1,house
8144,Gordon,911,19/07/2023,4,unit
8145,Hammondville,1774,06/06/2023,2,house
8146,Campbelltown,997,30/05/2024,3,house
8147,Roseville,783,02/05/2024,3,house
8148,Sylvania,1115,02/02/2023,2,unit
8149,Oakhurst,504,31/01/2023,2,unit
8150,Rooty Hill,1324,12/08/2024,4,house
8151,Cabramatta,2149,01/06/2023,2,house
8152,Longueville,1596,11/12/2023,5,house
8153,Sylvania,642,01/09/2024,1,unit
8154,Macquarie Fields,852,22/10/2024,2,house
8155,Glenwood,1234,10/04/2024,4,house
8156,Double Bay,1777,15/01/2024,4,house
8157,Caddens,2086,21/08/2024,4,house
8158,Cambridge Park,799,30/01/2024,4,unit
8159,Abbotsford,589,06/07/2023,5,unit
8160,Hillsdale,1423,09/08/2024,2,unit
8161,Marsden Park,687,23/08/2023,4,unit
8162,Harris Park,1584,12/12/2023,3,house
8163,Warwick Farm,1510,13/08/2024,2,house
8164,Catherine Field,1453,30/06/2023,3,house
8165,North Wahroonga,1299,12/04/2024,3,house
8166,Ramsgate Beach,2101,24/01/2023,4,house
8167,Airds,608,22/07/2024,5,unit
8168,Abbotsford,1169,18/01/2024,2,unit
8169,Bangor,840,29/08/2024,5,unit
8170,Ashcroft,1325,10/12/2023,4,unit
8171,Bradbury,1737,06/09/2024,4,house
8172,Maroubra,1422,01/06/2024,4,house
8173,Woolloomooloo,879,15/08/2024,3,house
8174,Spring Farm,813,26/05/2024,3,house
8175,Rushcutters Bay,1864,05/09/2023,2,house
8176,Surry Hills,929,24/10/2024,1,unit
8177,Peakhurst,1425,10/02/2024,1,house
8178,Oran Park,1116,10/06/2024,4,house
8179,Moorebank,540,16/01/2023,5,unit
8180,Strathfield South,1484,23/09/2023,3,unit
8181,Woolooware,1089,27/08/2024,1,house
8182,Macquarie Park,1825,14/11/2023,4,house
8183,Eastern Creek,896,02/09/2024,4,unit
8184,Shanes Park,910,06/02/2023,2,unit
8185,Tregear,1216,12/09/2024,1,unit
8186,Dharruk,1513,09/02/2024,3,house
8187,Dangar Island,1111,04/08/2023,3,house
8188,Castlereagh,1485,24/03/2023,2,unit
8189,Varroville,2239,14/09/2023,4,house
8190,Kensington,2236,22/09/2024,1,house
8191,Balgowlah,503,16/06/2023,3,unit
8192,Bexley North,1680,12/05/2024,2,house
8193,Eastern Creek,787,23/04/2024,4,unit
8194,Oakville,1284,25/04/2023,4,unit
8195,Port Hacking,1135,17/09/2023,3,house
8196,Malabar,684,13/08/2023,2,unit
8197,Linley Point,1198,04/01/2024,4,house
8198,Morning Bay,1000,26/10/2023,3,house
8199,Allambie Heights,2145,25/03/2024,2,house
8200,Balgowlah,808,04/03/2023,2,unit
8201,Waterfall,1496,01/12/2023,3,unit
8202,Artarmon,1170,19/10/2023,2,house
8203,Gordon,743,06/11/2023,2,unit
8204,Wiley Park,1408,27/07/2023,4,unit
8205,Cherrybrook,999,26/01/2024,2,house
8206,Kentlyn,887,11/08/2023,3,unit
8207,St Peters,2145,11/05/2024,2,house
8208,Haberfield,836,09/02/2024,2,unit
8209,Maraylya,1993,06/03/2024,4,house
8210,Pymble,957,04/07/2024,3,house
8211,Maroubra,525,05/05/2024,3,unit
8212,Edmondson Park,595,25/10/2023,3,unit
8213,Jannali,1093,23/02/2023,2,house
8214,Newington,2169,26/08/2023,2,house
8215,Lilyfield,1122,26/08/2024,4,unit
8216,Liberty Grove,1054,11/12/2023,5,unit
8217,Northwood,677,19/03/2023,2,unit
8218,Malabar,1359,01/02/2024,2,unit
8219,Matraville,869,02/05/2024,4,unit
8220,Cronulla,815,08/04/2024,2,unit
8221,Orchard Hills,1464,22/08/2023,5,unit
8222,Bradbury,1192,05/01/2024,2,house
8223,Harris Park,2220,21/08/2024,1,house
8224,Elanora Heights,1404,09/02/2023,3,unit
8225,Clyde,1121,18/03/2023,3,unit
8226,Mount Pritchard,954,01/06/2024,3,unit
8227,Malabar,2205,15/08/2024,1,house
8228,Putney,1975,17/02/2023,5,house
8229,North Bondi,1017,15/03/2024,3,unit
8230,Greendale,1360,08/08/2023,2,unit
8231,Turrella,748,12/07/2023,1,unit
8232,Horsley Park,855,19/07/2024,5,unit
8233,Lovett Bay,1630,27/02/2023,3,house
8234,Colyton,718,06/10/2024,3,unit
8235,Cabramatta,1108,19/08/2023,2,house
8236,North Turramurra,1398,08/04/2023,5,house
8237,Eastwood,2226,12/11/2023,1,house
8238,Queenscliff,865,05/02/2023,1,unit
8239,Arcadia,1262,14/06/2023,2,unit
8240,Eastern Creek,2250,12/01/2023,2,house
8241,Avalon Beach,1405,30/07/2024,4,unit
8242,Kogarah,1737,03/03/2023,2,house
8243,Coogee,1648,01/09/2024,4,house
8244,Illawong,2011,31/08/2023,4,house
8245,Llandilo,2206,09/04/2023,2,house
8246,Engadine,1312,30/03/2023,3,unit
8247,Sandringham,1372,03/05/2024,2,house
8248,North Curl Curl,1087,16/04/2023,3,unit
8249,Mulgrave,1050,12/04/2023,2,unit
8250,Hunters Hill,1812,08/09/2023,2,house
8251,Dolls Point,540,13/05/2023,2,unit
8252,Mosman,2068,05/01/2023,2,house
8253,Clareville,1348,08/06/2024,5,house
8254,Lane Cove,1114,18/09/2023,2,house
8255,Dolls Point,1755,14/09/2023,3,house
8256,Maraylya,585,04/06/2023,1,unit
8257,Harrington Park,1770,17/06/2023,3,house
8258,Kurnell,1237,10/03/2024,3,unit
8259,Minchinbury,569,01/12/2023,5,unit
8260,Norwest,1021,26/03/2024,4,unit
8261,Gregory Hills,786,12/07/2023,1,house
8262,Gordon,665,21/12/2023,5,unit
8263,Mount Pritchard,1309,08/01/2024,4,unit
8264,Kogarah,1350,08/01/2024,5,house
8265,Longueville,1960,13/03/2023,3,house
8266,Freshwater,2176,25/07/2024,4,house
8267,Wattle Grove,981,03/10/2023,2,unit
8268,Gymea,1056,15/01/2023,4,house
8269,St Andrews,1357,22/08/2023,2,house
8270,Blakehurst,1660,02/02/2024,4,house
8271,McCarrs Creek,888,31/10/2023,3,house
8272,Carnes Hill,1011,09/09/2024,3,unit
8273,Galston,1154,21/01/2024,3,unit
8274,Oyster Bay,2200,22/09/2024,4,house
8275,North Willoughby,1116,10/08/2024,1,unit
8276,Botany,841,25/01/2024,2,unit
8277,Dundas Valley,822,02/04/2024,3,house
8278,Blacktown,768,09/12/2023,5,house
8279,Longueville,1186,09/03/2023,3,unit
8280,Milsons Passage,1149,26/11/2023,2,house
8281,Smeaton Grange,919,12/04/2024,2,house
8282,Pyrmont,1546,22/01/2024,3,house
8283,Regents Park,567,24/10/2024,3,unit
8284,Grays Point,1554,14/04/2024,2,house
8285,Balmain East,2008,10/09/2024,2,house
8286,Oatlands,1311,24/05/2023,4,unit
8287,Meadowbank,697,06/02/2023,4,unit
8288,Kareela,883,03/03/2024,3,unit
8289,Killarney Heights,1923,08/05/2023,4,house
8290,Catherine Field,554,03/03/2024,3,unit
8291,North Curl Curl,1696,31/03/2023,3,house
8292,Quakers Hill,620,14/04/2023,2,unit
8293,Minto,1208,18/10/2023,3,unit
8294,Belmore,763,25/06/2023,4,house
8295,McGraths Hill,1572,01/01/2024,3,house
8296,Bangor,1442,06/02/2024,4,unit
8297,Berkshire Park,1251,09/02/2024,5,unit
8298,Milperra,2190,10/04/2024,5,house
8299,Winston Hills,898,01/03/2023,2,house
8300,Singletons Mill,1981,15/10/2023,1,house
8301,Eagle Vale,1116,04/08/2023,2,house
8302,Mulgoa,846,02/09/2023,4,house
8303,Enfield,1067,20/09/2024,1,unit
8304,Arncliffe,859,18/08/2023,4,house
8305,Cranebrook,530,24/12/2023,3,unit
8306,Bangor,665,29/08/2023,3,unit
8307,Taren Point,1236,16/02/2024,4,house
8308,Padstow,1414,11/08/2023,3,house
8309,Lugarno,1927,12/10/2023,3,house
8310,Gregory Hills,1041,03/06/2023,3,unit
8311,Hurlstone Park,1749,03/04/2024,4,house
8312,Bilgola Beach,2107,31/01/2024,4,house
8313,Acacia Gardens,1153,10/02/2023,4,house
8314,Sefton,1041,10/10/2023,4,unit
8315,Terrey Hills,1146,08/01/2024,1,house
8316,Panania,1873,06/02/2024,1,house
8317,Warrawee,767,27/01/2023,5,unit
8318,Linley Point,501,22/04/2024,4,unit
8319,Sydenham,991,01/10/2024,3,house
8320,Clyde,798,15/09/2023,1,house
8321,Hornsby Heights,914,05/12/2023,2,unit
8322,Breakfast Point,1394,08/06/2024,3,unit
8323,Blair Athol,2224,26/11/2023,3,house
8324,Pyrmont,957,24/01/2024,2,unit
8325,Kellyville,1314,02/06/2023,4,unit
8326,Catherine Field,984,09/09/2023,3,unit
8327,Bardwell Park,507,14/01/2023,3,unit
8328,Berowra Creek,892,01/02/2024,5,house
8329,Chullora,656,01/08/2023,3,unit
8330,Eastlakes,915,30/01/2023,1,house
8331,Rooty Hill,1084,17/12/2023,3,house
8332,Padstow Heights,2202,10/02/2023,1,house
8333,Double Bay,2034,26/06/2023,3,house
8334,Rosehill,1714,03/04/2024,4,house
8335,Nelson,1369,01/10/2023,2,house
8336,Kingswood,663,30/08/2024,3,unit
8337,Vineyard,1125,29/04/2024,3,unit
8338,Berowra Heights,674,18/05/2024,2,unit
8339,Church Point,1361,03/05/2023,2,unit
8340,Claymore,1633,06/06/2024,4,house
8341,St Marys,804,27/04/2023,4,unit
8342,Clontarf,1210,01/01/2024,5,unit
8343,Glenmore Park,1549,23/04/2024,3,house
8344,Ramsgate Beach,1347,13/02/2024,1,house
8345,Asquith,940,13/05/2023,3,unit
8346,Menai,908,17/01/2023,3,unit
8347,Casula,1779,02/10/2023,5,house
8348,Cromer,816,01/01/2024,2,house
8349,Clovelly,1169,09/05/2023,4,unit
8350,Dawes Point,1492,15/11/2023,4,unit
8351,Gledswood Hills,1269,08/01/2023,2,unit
8352,Gregory Hills,1107,16/06/2023,1,unit
8353,Croydon,1213,06/01/2023,3,unit
8354,Cattai,1395,12/05/2024,2,unit
8355,Sefton,964,24/03/2023,1,house
8356,Colyton,1785,17/10/2023,4,house
8357,Russell Lea,679,19/06/2024,2,unit
8358,Lethbridge Park,2166,12/12/2023,3,house
8359,Elanora Heights,1639,06/09/2024,3,house
8360,Kingsgrove,1914,02/03/2023,3,house
8361,Nelson,1624,16/06/2023,5,house
8362,Minchinbury,1377,11/06/2023,4,house
8363,Allambie Heights,729,11/10/2023,2,unit
8364,Kirkham,944,09/02/2024,1,unit
8365,McCarrs Creek,1276,01/02/2023,2,unit
8366,Casula,1311,02/12/2023,1,unit
8367,Pemulwuy,1356,26/07/2023,5,unit
8368,Kellyville,1548,21/04/2023,2,house
8369,Woronora,537,19/06/2023,3,unit
8370,Bardia,1436,15/07/2023,2,unit
8371,Dolans Bay,853,16/12/2023,1,house
8372,Marsden Park,1142,17/12/2023,2,unit
8373,Kogarah,940,28/05/2024,3,house
8374,Minchinbury,1620,11/10/2023,2,house
8375,Fiddletown,2088,28/08/2024,4,house
8376,Kyeemagh,663,20/09/2024,4,unit
8377,Wheeler Heights,1927,25/04/2024,4,house
8378,Yarrawarrah,1410,20/12/2023,5,unit
8379,Birrong,548,16/05/2024,3,unit
8380,Plumpton,1216,03/12/2023,1,house
8381,Cartwright,896,30/09/2023,5,unit
8382,Revesby,1119,23/03/2024,2,house
8383,Banksia,1863,01/08/2024,5,house
8384,Berowra Creek,998,13/10/2024,4,unit
8385,St Johns Park,564,31/10/2023,4,unit
8386,Glenmore Park,1777,10/08/2024,2,house
8387,Cobbitty,879,01/11/2023,3,house
8388,Artarmon,1092,01/10/2023,4,house
8389,Erskineville,1316,19/04/2023,4,unit
8390,Milperra,949,27/09/2024,2,house
8391,Banksmeadow,2136,11/09/2023,4,house
8392,Colebee,2149,25/07/2024,2,house
8393,Asquith,1339,07/03/2023,2,house
8394,Rushcutters Bay,1623,25/03/2023,4,house
8395,Woolloomooloo,2236,25/09/2024,1,house
8396,Bexley,2163,09/07/2023,2,house
8397,Sydney Olympic Park,1430,25/05/2023,2,unit
8398,Seven Hills,777,28/08/2024,2,house
8399,Pemulwuy,1299,19/06/2023,2,house
8400,Cremorne Point,2007,19/07/2024,2,house
8401,North St Marys,581,16/10/2024,3,unit
8402,Eastern Creek,724,04/04/2024,1,unit
8403,Centennial Park,986,07/02/2024,3,unit
8404,Spring Farm,1321,23/08/2023,4,house
8405,Bilgola Plateau,2101,09/04/2023,3,house
8406,Badgerys Creek,1493,20/09/2023,3,unit
8407,Canoelands,1024,22/10/2023,3,house
8408,Milsons Point,921,27/04/2024,5,house
8409,Cronulla,1306,22/09/2024,4,house
8410,Zetland,1684,10/09/2023,1,house
8411,Belrose,1006,04/09/2024,5,house
8412,Minchinbury,1132,05/09/2024,2,unit
8413,South Coogee,595,04/04/2024,3,unit
8414,Northmead,595,17/03/2024,3,unit
8415,Hurstville,1286,03/09/2023,5,unit
8416,Randwick,1155,07/05/2024,4,unit
8417,Carramar,1153,28/01/2024,1,house
8418,Bonnet Bay,964,05/09/2023,1,unit
8419,Lugarno,966,16/02/2024,3,house
8420,Phillip Bay,859,01/12/2023,2,unit
8421,Moorebank,580,21/12/2023,4,unit
8422,Guildford,859,14/10/2023,3,house
8423,Bardia,1702,03/11/2023,4,house
8424,Elvina Bay,815,26/06/2024,4,unit
8425,Rookwood,827,06/09/2024,4,unit
8426,Frenchs Forest,793,06/12/2023,4,house
8427,Birchgrove,752,20/05/2023,2,unit
8428,Bondi,868,16/06/2023,3,house
8429,Brooklyn,1749,19/11/2023,3,house
8430,Cowan,909,23/08/2023,1,house
8431,Clarendon,1072,11/06/2024,1,house
8432,Hurstville Grove,1606,14/01/2024,2,house
8433,Terrey Hills,1116,04/04/2023,5,unit
8434,Gilead,539,16/11/2023,4,unit
8435,North Manly,1717,23/06/2023,3,house
8436,South Hurstville,602,19/01/2024,5,unit
8437,Eagle Vale,843,19/03/2024,2,house
8438,Berowra Waters,2128,13/11/2023,5,house
8439,Ashcroft,2130,30/01/2023,2,house
8440,South Hurstville,936,04/01/2023,3,house
8441,Windsor,1459,08/04/2024,3,house
8442,Bilgola Plateau,625,11/06/2024,4,unit
8443,Waterfall,1149,17/02/2024,4,unit
8444,Kings Park,1135,06/03/2023,2,unit
8445,Balgowlah,677,27/01/2024,2,unit
8446,Kemps Creek,741,09/02/2023,3,unit
8447,Spring Farm,853,15/07/2023,3,house
8448,Londonderry,1420,18/06/2023,1,house
8449,Ultimo,2214,15/06/2023,3,house
8450,Stanmore,955,02/11/2023,4,unit
8451,West Hoxton,1624,19/05/2023,3,house
8452,Leets Vale,893,15/05/2023,5,unit
8453,Carnes Hill,1767,28/07/2023,2,house
8454,Allawah,1131,26/01/2023,1,house
8455,Seaforth,1105,29/10/2023,5,house
8456,Clemton Park,2163,21/01/2024,3,house
8457,Heathcote,803,01/05/2023,3,unit
8458,Ultimo,1338,20/08/2023,4,house
8459,Illawong,1107,29/10/2023,4,unit
8460,Glebe,856,16/01/2023,3,house
8461,Pymble,964,16/02/2023,1,unit
8462,Kirribilli,1279,25/10/2024,1,unit
8463,Rushcutters Bay,1093,09/08/2024,2,unit
8464,Wareemba,563,20/07/2024,2,unit
8465,Menangle Park,1009,19/09/2024,5,unit
8466,Rooty Hill,1085,22/09/2024,2,unit
8467,Minto Heights,1148,27/06/2023,2,unit
8468,Mays Hill,2136,12/05/2024,2,house
8469,Kingswood,684,01/01/2023,4,unit
8470,Shalvey,1090,04/09/2023,2,unit
8471,Queens Park,1938,03/06/2023,3,house
8472,Ku-ring-gai Chase,1263,31/08/2023,4,house
8473,Carss Park,645,01/06/2024,3,unit
8474,Artarmon,1161,07/02/2024,2,house
8475,Hassall Grove,1179,14/05/2024,4,house
8476,Naremburn,1419,09/02/2023,3,unit
8477,Whale Beach,1228,20/01/2023,1,unit
8478,Peakhurst,1280,03/06/2023,1,unit
8479,Alexandria,914,25/09/2023,3,unit
8480,Greystanes,511,17/02/2023,3,unit
8481,Balgowlah,713,26/11/2023,3,unit
8482,Bankstown Aerodrome,1870,17/03/2023,4,house
8483,Royal National Park,828,20/04/2024,4,unit
8484,Grays Point,834,19/10/2024,3,unit
8485,Ashfield,1725,17/12/2023,4,house
8486,Lane Cove West,1131,17/12/2023,3,house
8487,South Windsor,692,13/03/2023,2,unit
8488,Greenacre,1200,15/11/2023,1,unit
8489,Scotland Island,1242,22/02/2024,3,unit
8490,Shanes Park,864,24/12/2023,3,unit
8491,Port Hacking,870,06/12/2023,3,house
8492,Homebush,2175,06/07/2023,3,house
8493,Gymea Bay,803,13/04/2024,1,unit
8494,Port Botany,1461,14/04/2024,3,house
8495,Cromer,1405,27/09/2024,3,house
8496,Colyton,939,31/08/2023,3,house
8497,Bossley Park,1845,10/08/2024,5,house
8498,Bella Vista,981,13/01/2023,3,house
8499,Bondi,1187,28/05/2024,1,unit
8500,Llandilo,1136,20/04/2023,1,unit
8501,Tregear,1155,16/10/2024,5,unit
8502,Kingsgrove,2094,08/04/2024,4,house
8503,Miller,1405,10/01/2023,3,unit
8504,Matraville,1458,25/04/2023,2,unit
8505,Leichhardt,833,17/05/2023,2,unit
8506,Kirribilli,1283,07/07/2023,3,unit
8507,Currawong Beach,1147,23/03/2024,2,unit
8508,South Windsor,1990,11/01/2024,5,house
8509,Wollstonecraft,851,07/12/2023,4,unit
8510,Burwood,777,07/07/2024,2,unit
8511,Kenthurst,1812,05/10/2023,3,house
8512,Glenhaven,1275,03/01/2023,3,house
8513,Berkshire Park,550,20/03/2024,3,unit
8514,Campbelltown,1926,24/03/2023,4,house
8515,Busby,1900,15/07/2023,1,house
8516,Sutherland,1869,23/09/2023,3,house
8517,Forestville,1560,07/04/2024,3,house
8518,Epping,1090,04/03/2024,3,house
8519,Cowan,823,18/06/2023,4,unit
8520,Edensor Park,825,26/07/2023,3,house
8521,Edmondson Park,1210,10/05/2023,3,house
8522,Summer Hill,780,17/04/2024,1,unit
8523,Colyton,1341,13/10/2024,4,house
8524,Kearns,1328,27/02/2024,2,unit
8525,Lakemba,1648,27/09/2024,2,house
8526,Doonside,749,05/10/2023,3,unit
8527,North Parramatta,734,13/09/2023,4,unit
8528,Laughtondale,1074,03/01/2024,4,unit
8529,Davidson,777,03/02/2023,3,unit
8530,Cheltenham,1273,04/12/2023,5,house
8531,Cremorne,1144,23/07/2024,4,house
8532,Glen Alpine,1533,07/05/2023,1,house
8533,Arndell Park,1182,03/09/2023,3,house
8534,Huntleys Point,817,18/03/2023,2,house
8535,Hurstville Grove,1033,03/07/2023,3,house
8536,Middle Cove,1362,01/06/2023,3,unit
8537,Croydon,1305,12/05/2024,2,house
8538,Bankstown,1885,22/06/2023,2,house
8539,Malabar,795,25/10/2023,2,unit
8540,Oakville,1978,24/11/2023,4,house
8541,Roseville,582,17/06/2024,2,unit
8542,Bilgola Beach,2073,14/10/2024,3,house
8543,Beaconsfield,1096,03/03/2024,5,unit
8544,Middleton Grange,798,04/06/2023,1,house
8545,Haymarket,1480,08/06/2024,3,house
8546,Woollahra,1059,17/02/2023,1,unit
8547,Long Point,1290,29/08/2024,4,unit
8548,Gledswood Hills,1240,25/04/2024,2,unit
8549,Vaucluse,1698,14/08/2024,2,house
8550,Leichhardt,925,20/02/2024,2,house
8551,Balgowlah Heights,1780,26/04/2023,3,house
8552,Berowra Waters,865,14/10/2023,4,unit
8553,Seven Hills,1216,06/01/2023,3,house
8554,Whale Beach,684,11/06/2024,1,unit
8555,Mount Colah,1212,16/02/2023,2,house
8556,Woodcroft,728,29/06/2024,5,unit
8557,Chullora,1104,25/01/2024,2,house
